@relation 'conjunto_de_datos_tmodulo_endiseg_web_2022-weka.filters.unsupervised.attribute.Remove-R1,3-55,58-60,62-71,73-74,76-224'

@attribute P4_1 numeric
@attribute P7_2 numeric
@attribute P7_3 numeric
@attribute P7_5 numeric
@attribute P8_1 numeric
@attribute P8_2 numeric

@data
48,0,23,24,4,?
27,7,13,21,3,1
54,12,16,18,5,?
54,13,22,23,4,?
22,19,19,0,2,18
45,12,24,34,6,36
62,17,20,24,5,?
60,12,14,27,5,?
67,14,17,20,5,?
33,12,13,19,4,?
52,12,12,13,5,?
49,12,15,15,5,?
55,10,22,35,4,?
48,14,15,18,4,?
45,12,14,17,4,?
51,10,25,25,4,?
21,0,17,0,3,20
63,11,12,18,4,?
41,11,13,0,4,?
45,11,15,18,4,?
47,10,11,19,4,?
55,11,18,24,4,?
28,5,15,19,3,20
31,15,18,19,4,?
52,18,18,22,4,?
62,17,18,18,4,?
58,11,20,23,4,?
30,12,17,15,2,1
25,8,15,19,5,?
25,11,16,22,4,?
42,11,27,27,4,?
40,14,17,19,4,?
47,13,26,36,5,?
50,10,10,10,3,27
52,15,26,32,5,?
24,11,20,20,1,15
45,13,15,20,4,?
46,8,8,11,5,?
64,17,17,18,5,?
43,18,19,19,4,?
57,12,17,17,4,?
55,11,17,22,5,?
39,11,14,18,4,?
47,6,27,27,4,?
54,12,19,25,5,?
45,14,19,22,5,?
52,13,17,25,4,?
62,13,15,22,4,?
52,10,20,32,4,?
26,13,17,18,2,16
60,8,13,20,5,?
37,8,14,21,2,13
34,9,13,15,5,?
54,6,12,17,5,?
24,11,20,23,2,1
50,10,17,25,5,?
39,10,14,18,4,?
55,13,15,22,4,?
19,7,14,16,3,14
21,13,17,0,3,17
42,14,14,16,5,?
56,8,18,24,5,?
24,14,21,21,2,15
51,10,12,14,5,?
30,10,18,18,6,14
52,14,19,23,5,?
33,12,13,18,4,?
59,15,16,18,5,?
41,14,15,18,1,17
36,10,14,17,2,1
48,4,16,18,5,?
49,14,15,17,5,?
30,6,12,0,1,6
23,16,17,19,4,?
29,6,13,21,4,?
31,7,14,20,2,14
46,12,14,16,4,?
55,16,16,21,5,?
45,13,16,22,4,?
61,15,26,26,4,?
34,9,15,21,1,1
45,13,14,17,5,?
25,10,15,19,6,22
51,10,20,23,4,?
40,15,16,19,4,?
36,5,5,5,2,5
18,6,12,17,3,13
20,6,16,0,3,12
29,12,16,21,3,21
53,9,24,12,2,9
53,15,24,32,4,?
24,10,14,23,5,?
46,15,16,20,4,?
49,12,15,18,3,30
34,15,20,22,1,20
31,12,16,18,2,15
46,14,14,15,5,?
26,13,14,16,3,1
51,12,12,20,4,?
33,12,9,20,5,?
47,13,13,13,3,22
46,5,15,20,5,?
22,10,12,16,2,10
25,10,15,18,3,20
59,11,21,25,4,?
52,9,14,21,4,?
32,15,20,20,4,?
48,17,0,0,4,?
36,9,24,25,5,?
52,12,14,31,4,?
38,12,13,17,2,1
55,11,18,18,4,?
40,10,14,14,4,?
45,8,15,17,5,?
36,16,17,17,2,16
52,12,17,21,4,?
27,11,15,17,2,19
56,10,14,17,4,?
43,12,15,19,4,?
