@relation 'conjunto_de_datos_tmodulo_endiseg_web_2022-weka.filters.unsupervised.attribute.Remove-R1,3-55,58-60,62-71,73-74,76-224-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute P4_1 numeric
@attribute P7_2 numeric
@attribute P7_3 numeric
@attribute P7_5 numeric
@attribute P8_1 numeric
@attribute P8_2 numeric

@data
0.029851,0.2,0.211538,0.151515,1,12
0.328358,0.16,0.153846,0.141414,0.2,14
0.089552,0.22,0.269231,0.181818,0.4,11
0.507463,0.22,0.461538,0.272727,0.2,29
0.313433,0.24,0.230769,0.070707,0.4,16
0.432836,0.16,0.25,0.151515,0.2,8
0.104478,0.14,0.230769,0.191919,0.2,1
0.477612,0.12,0.480769,0.272727,0.4,1
0.447761,0.26,0.269231,0.181818,0.2,8
0.298507,0.24,0.25,0.141414,0.2,1
0.179104,0.1,0.096154,0.191919,0.2,6
0.149254,0.22,0.269231,0.181818,0.4,1
0.179104,0.24,0.230769,0.161616,0.2,15
0.014925,0.24,0.269231,0,0.2,13
0.447761,0.06,0.403846,0.222222,0.2,21
0.164179,0.12,0.365385,0.20202,0.2,12
0.119403,0.2,0.269231,0.181818,0.8,?
0.208955,0.32,0.326923,0.171717,0.4,17
0.328358,0.22,0.115385,0.161616,0,12
0.089552,0.12,0.269231,0.161616,0.4,16
0.373134,0.2,0.192308,0.131313,0.2,13
0.223881,0.24,0.365385,0.222222,0.4,1
0.328358,0.24,0.288462,0.171717,0.6,?
0.149254,0.26,0.269231,0.181818,0.4,19
0.38806,0.18,0.288462,0.232323,0.4,33
0.343284,0.1,0.326923,0.151515,0,10
0.253731,0,0.288462,0.181818,0.6,?
0.776119,0.28,0.288462,0.20202,0.6,?
0.164179,0.12,0.269231,0.181818,1,12
0.179104,0.34,0.346154,0.191919,0.4,20
0.089552,0.26,0.326923,0.191919,0.2,15
0.119403,0.18,0.384615,0.20202,0.6,?
0.19403,0.24,0.346154,0.191919,0.2,12
0.19403,0.24,0.288462,0.151515,0.2,12
0.507463,0.3,0.365385,0.212121,0.6,?
0.41791,0.18,0.230769,0.181818,0.4,12
0.119403,0.16,0.365385,0.191919,0.2,1
0.104478,0.2,0.288462,0.161616,1,17
0.074627,0.2,0.211538,0.191919,0.4,13
0.074627,0.14,0.365385,0,0,16
0.089552,0.24,0.307692,0,0.4,15
0.104478,0.26,0.346154,0.191919,0.4,20
0.119403,0.2,0.423077,0.232323,0.8,?
0.19403,0.3,0.307692,0.181818,0.2,16
0.328358,0.18,0.230769,0.191919,0.4,29
0.134328,0.24,0.288462,0.171717,0,17
0.597015,0.14,0.25,0.191919,0.6,?
0.656716,0.2,0.423077,0.252525,0.2,10
0.044776,0.08,0,0,0.2,1
0.164179,0.24,0.269231,0.151515,0.2,1
0.059701,0.38,0.326923,0,0.4,17
0.104478,0.22,0.326923,0.171717,0.2,13
0.358209,0.3,0.442308,0.232323,0.2,15
0.149254,0.24,0.230769,0.151515,0.8,?
0.58209,0.08,0.269231,0.141414,0.8,?
0.149254,0.14,0.153846,0.111111,0.2,1
0.61194,0.34,0.326923,0.222222,0.8,?
0.477612,0.2,0.288462,0.171717,0.8,?
0.537313,0.2,0.326923,0.262626,0.6,?
0.58209,0.26,0.480769,0.333333,0.6,?
0.58209,0.28,0.269231,0.20202,0.8,?
0.432836,0.12,0.25,0.252525,0.6,?
0.61194,0.2,0.307692,0.171717,0.8,?
0.432836,0.3,0.365385,0.191919,0.6,?
0.701493,0.2,0.288462,0.181818,0.8,?
0.134328,0.28,0.346154,0.181818,0.6,?
0.19403,0.24,0.153846,0.171717,0.2,12
0.223881,0.34,0.403846,0.232323,0.6,?
0.626866,0.22,0,0,0.6,?
0.268657,0.2,0.269231,0.232323,0.6,?
0.432836,0.24,0.384615,0.212121,0.6,?
0.492537,0.12,0.269231,0.141414,0.2,7
0.343284,0.24,0.442308,0.242424,0.6,?
0.238806,0.2,0.346154,0.181818,0.8,?
0.626866,0.3,0.384615,0.151515,0.2,19
0.58209,0.24,0.461538,0.252525,0.6,?
0.373134,0.32,0.384615,0.292929,0.2,28
0.552239,0.26,0,0,0.6,?
0.522388,0.2,0.269231,0.191919,0.6,?
0.358209,0.18,0.230769,0.181818,0.6,?
0.522388,0.18,0.326923,0.181818,0.6,?
0.522388,0.16,0.25,0.252525,0.8,?
0.522388,1,0.961538,0.505051,0.8,?
0.432836,0.22,0.307692,0.20202,0.6,?
0.58209,0.22,0.288462,0.262626,0.6,?
0.477612,0.36,0.365385,0.20202,0.6,?
0.149254,0.24,0.288462,0.20202,0.4,20
0.61194,0.24,0.230769,0.181818,0.8,?
0.61194,0.28,0.288462,0.191919,0.6,?
0.19403,0.12,0.288462,0.212121,0.6,?
0.58209,0.1,0.326923,0.181818,0.8,?
0.179104,0.24,0.269231,0.232323,0.6,?
0.223881,0.32,0.346154,0.282828,0.6,?
0.253731,0.3,0.288462,0.171717,0.4,21
0.328358,0.32,0.346154,0.181818,0.6,?
0.343284,0.24,0.230769,0.171717,0.4,11
0.462687,0.44,0.423077,0.282828,0.6,?
0.507463,0.36,0.384615,0.20202,0.6,?
0.597015,0.26,0.326923,0.20202,0.6,?
0.522388,0.3,0.576923,0.313131,0.6,?
0.432836,0.12,0.25,0.222222,0.2,1
0.134328,0.24,0.326923,0.181818,0.2,12
0.134328,0.24,0.326923,0.212121,0.4,18
0.208955,0.08,0.269231,0.191919,0.4,23
0.38806,0.12,0.423077,0.232323,0.8,?
0.41791,0.42,0.269231,0,0.4,1
0.477612,0.24,0.384615,0.20202,0.6,?
0.537313,0.14,0.211538,0.161616,0.8,?
0.343284,0.2,0.288462,0.20202,0.6,?
0.029851,0.12,0,0,0.8,?
0.656716,0.22,0.403846,0.272727,0.8,?
0.492537,0.24,0.307692,0.181818,0.6,?
0.58209,0.3,0.346154,0.242424,0.6,?
0.358209,0.24,0.288462,0.181818,0.6,?
0.567164,0.22,0.211538,0.181818,0.8,?
0.671642,0.26,0.25,0.242424,0.6,?
0.507463,0.22,0.288462,0.252525,0.6,?
0.447761,0.16,0.288462,0.181818,0.6,?
0.19403,0.06,0.192308,0.252525,0.6,?
0.597015,0.24,0.288462,0.212121,0.8,?
0.149254,0.24,0.269231,0.171717,0.4,19
0.716418,0.36,0.346154,0.212121,0.8,?
0.208955,0.1,0.307692,0.141414,0.4,1
0.492537,0.26,0.288462,0.181818,0.8,?
0.208955,0.2,0.230769,0.181818,0.2,14
0.149254,0.16,0.211538,0.141414,0.2,1
0.432836,0.22,0.230769,0.181818,0.8,?
0.432836,0.24,0.365385,0.20202,0.6,?
0.283582,0.12,0.25,0.161616,0.2,12
0.179104,0.26,0.269231,0.141414,0.2,1
0.567164,0.26,0.326923,0.232323,0.6,?
0.179104,0,0,0,0.6,?
0.58209,0.24,0.326923,0.20202,0.8,?
0.223881,0.1,0.307692,0.161616,0.6,?
0.477612,0.16,0.25,0.232323,0.6,?
0.298507,0.16,0.192308,0.161616,0.4,11
0.432836,0.24,0.25,0.20202,0.4,30
0.268657,0.24,0.25,0.141414,0.4,24
0.164179,0.24,0.269231,0.161616,0.2,13
0.791045,0.22,0.326923,0.20202,0.8,?
0.268657,0.26,0.346154,0.212121,0.8,?
0.313433,0.2,0.461538,0.242424,0.2,12
0.283582,0.3,0.326923,0.181818,0.2,18
0.238806,0.24,0.25,0.232323,0.6,?
0.447761,0.22,0.211538,0.20202,0.8,?
0.014925,0.3,0.288462,0.151515,0.8,?
0.179104,0.12,0.326923,0.171717,0.2,16
0.597015,0.28,0.326923,0.232323,0.8,?
0.164179,0.24,0.403846,0.222222,0.6,?
0.298507,0.22,0.288462,0.141414,0.8,?
0.492537,0.22,0.25,0.181818,0.6,?
0.492537,0.16,0.192308,0.181818,0.8,?
0.41791,0.24,0.230769,0.161616,0.8,?
0.373134,0.24,0.365385,0.20202,0.6,?
0.597015,0.2,0.403846,0.262626,0.8,?
0.522388,0.14,0.423077,0.282828,0.6,?
